TXL - UP,BITOLA,CUSTO
TXL001,2,60 X AÇO CARBONO,1000.50
TXL002,2,20 X AÇO INOX,900.75
TXL003,2,60 X AÇO CARBONO,1000.50
TXL004,2,20 X AÇO INOX,900.75
TXL005,2,60 X AÇO CARBONO,1000.50
TXL006,2,20 X AÇO INOX,900.75
TXL007,2,60 X AÇO CARBONO,1000.50
TXL008,2,20 X AÇO INOX,900.75
TXL009,2,60 X AÇO CARBONO,1000.50
TXL010,2,20 X AÇO INOX,900.75
TXL011,2,60 X AÇO CARBONO,1000.50
TXL012,2,20 X AÇO INOX,900.75
TXL013,2,60 X AÇO CARBONO,1000.50
TXL014,2,20 X AÇO INOX,900.75
TXL015,2,60 X AÇO CARBONO,1000.50
TXL016,2,20 X AÇO INOX,900.75
TXL017,2,60 X AÇO CARBONO,1000.50
TXL018,2,20 X AÇO INOX,900.75
TXL019,2,60 X AÇO CARBONO,1000.50
TXL020,2,20 X AÇO INOX,900.75
