DATA NF ENTRADA,PROPRIO,LOCAL,TXL - UP,TON,MATERIAL,DESCRICAO,CODIGO,PERIODO,VCTO. DATA,ARMAZEM,LOCAL/AMZ,NAVIO,BITOLA,SITUACAO
DATA NF ENTRADA,PROPRIO,LOCAL,TXL - UP,TON,MATERIAL,DESCRICAO,CODIGO,PERIODO,VCTO. DATA,ARMAZEM,LOCAL/AMZ,NAVIO,BITOLA,SITUACAO
01/01/2025,PROP_A,LOCAL_A,TXL001,5000.0,MATERIAL_A,DESC_A,COD001,2025-01,01/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,NACIONALIZADO
02/01/2025,PROP_B,LOCAL_B,TXL002,3000.0,MATERIAL_B,DESC_B,COD002,2025-01,02/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,NACIONALIZADO
03/01/2025,PROP_A,LOCAL_A,TXL003,4500.0,MATERIAL_A,DESC_C,COD003,2025-01,03/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,NACIONALIZADO
04/01/2025,PROP_B,LOCAL_B,TXL004,6000.0,MATERIAL_B,DESC_D,COD004,2025-01,04/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,NACIONALIZADO
05/01/2025,PROP_A,LOCAL_A,TXL005,5200.0,MATERIAL_A,DESC_E,COD005,2025-01,05/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,NACIONALIZADO
06/01/2025,PROP_B,LOCAL_B,TXL006,4700.0,MATERIAL_B,DESC_F,COD006,2025-01,06/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,NACIONALIZADO
07/01/2025,PROP_A,LOCAL_A,TXL007,5100.0,MATERIAL_A,DESC_G,COD007,2025-01,07/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,NACIONALIZADO
08/01/2025,PROP_B,LOCAL_B,TXL008,3200.0,MATERIAL_B,DESC_H,COD008,2025-01,08/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,NACIONALIZADO
09/01/2025,PROP_A,LOCAL_A,TXL009,4300.0,MATERIAL_A,DESC_I,COD009,2025-01,09/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,NACIONALIZADO
10/01/2025,PROP_B,LOCAL_B,TXL010,5900.0,MATERIAL_B,DESC_J,COD010,2025-01,10/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,NACIONALIZADO
11/01/2025,PROP_A,LOCAL_A,TXL011,4800.0,MATERIAL_A,DESC_K,COD011,2025-01,11/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,AGUARDANDO NACIONALIZAR
12/01/2025,PROP_B,LOCAL_B,TXL012,4600.0,MATERIAL_B,DESC_L,COD012,2025-01,12/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,AGUARDANDO NACIONALIZAR
13/01/2025,PROP_A,LOCAL_A,TXL013,5000.0,MATERIAL_A,DESC_M,COD013,2025-01,13/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,AGUARDANDO NACIONALIZAR
14/01/2025,PROP_B,LOCAL_B,TXL014,3100.0,MATERIAL_B,DESC_N,COD014,2025-01,14/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,AGUARDANDO NACIONALIZAR
15/01/2025,PROP_A,LOCAL_A,TXL015,4400.0,MATERIAL_A,DESC_O,COD015,2025-01,15/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,AGUARDANDO NACIONALIZAR
16/01/2025,PROP_B,LOCAL_B,TXL016,5800.0,MATERIAL_B,DESC_P,COD016,2025-01,16/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,AGUARDANDO NACIONALIZAR
17/01/2025,PROP_A,LOCAL_A,TXL017,4900.0,MATERIAL_A,DESC_Q,COD017,2025-01,17/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,AGUARDANDO NACIONALIZAR
18/01/2025,PROP_B,LOCAL_B,TXL018,4700.0,MATERIAL_B,DESC_R,COD018,2025-01,18/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,AGUARDANDO NACIONALIZAR
19/01/2025,PROP_A,LOCAL_A,TXL019,5100.0,MATERIAL_A,DESC_S,COD019,2025-01,19/02/2025,ARMAZEM_1,LOCAL_A,NAVIO_1,2,60 X AÇO CARBONO,AGUARDANDO NACIONALIZAR
20/01/2025,PROP_B,LOCAL_B,TXL020,3200.0,MATERIAL_B,DESC_T,COD020,2025-01,20/02/2025,ARMAZEM_2,LOCAL_B,NAVIO_2,2,20 X AÇO INOX,AGUARDANDO NACIONALIZAR
